id_perfil,id_opcion,p_insertar,p_modificar,p_borrar,r_pdf,r_csv,r_txt
120,1000,1,1,1,1,1,0
120,1002,1,1,1,1,1,0
120,2052,0,0,0,1,1,1
120,4010,1,1,1,0,0,0
120,4012,1,1,1,0,0,0
120,4016,1,1,0,0,0,0
120,4035,1,1,1,1,1,1
120,4040,1,1,1,1,1,1
120,4050,1,1,0,1,1,1
150,1000,1,1,1,0,0,0
150,1002,1,1,1,0,0,0
150,1010,1,1,1,0,0,0
150,4020,0,1,0,0,0,0
150,4050,0,0,0,0,0,0
200,1010,1,1,1,0,0,0
200,4020,1,1,0,0,0,0
999,1000,1,1,1,1,1,1
999,1002,1,1,1,0,0,0
999,1010,1,1,1,0,1,0
999,2052,1,1,1,0,0,0
999,4010,1,1,1,1,1,0
999,4012,1,1,1,0,0,0
999,4016,1,1,1,1,1,0
999,4020,1,1,1,0,0,0
999,4035,1,1,1,1,1,1
999,4040,1,1,1,1,1,0
999,4050,1,1,1,1,1,0
999,4170,1,1,1,1,1,1
999,9000,1,1,1,1,1,1
999,9010,1,1,1,1,1,0
999,9020,0,0,0,1,1,0
999,9979,0,0,0,1,1,0
999,9999,1,1,1,1,1,0
